Peak,RetTime,Type,Width,Area,Height,Area_1
#,[min],,[min],[mAU*s],[mAU],%
1,0.575,BV,0.1009,312.93893,44.01591,0.4357
2,0.687,VB,0.0650,70.42937,14.93669,0.0981
3,0.857,BV,0.0654,919.41309,217.00862,1.2801
4,0.923,VV,0.0921,1358.78906,219.97292,1.8919
5,1.017,VB,0.0867,1110.40723,188.53268,1.546
6,2.201,BB,0.1872,14.67695,1.08915,0.0204
7,2.879,BV,0.1828,1.00098e4,817.71063,13.9367
8,3.151,VV,0.1553,8073.21631,751.87152,11.2404
9,3.237,VV,0.1581,8231.62305,749.80670,11.461
10,3.506,VB,0.2970,1.48754e4,708.30316,20.7112
11,5.318,BV,0.1546,4141.14600,421.48532,5.7658
12,5.617,VV,0.2226,7271.77783,445.01538,10.1246
13,5.721,VV,0.1609,4988.12158,444.72305,6.945
14,5.982,VBA,0.3242,1.04454e4,438.05658,14.5432
